"DATE,VISITOR,G,HOME,G,"
"2021-02-28,Pittsburgh Pirates,,Baltimore Orioles,,"
"2021-02-28,Boston Red Sox,,Minnesota Twins,,"
"2021-02-28,Atlanta Braves,,Tampa Bay Rays,,"
"2021-02-28,Cincinnati Reds,, Cleveland Indians,,"
"2021-02-28,Philadelphia Phillies,,Detroit Tigers,,"
"2021-02-28,Arizona Diamondbacks,,Colorado Rockies,,"
"2021-02-28,Los Angeles Dodgers,,Oakland Athletics,,"
"2021-02-28,Texas Rangers,,Kansas City Royals,,"
"2021-02-28,Miami Marlins,,Houston Astros,,"
"2021-02-28,Los Angeles Angels of Anaheim,,San Francisco Giants,,"
"2021-02-28,Milwaukee Brewers,,Chicago White Sox,,"
"2021-02-28,Toronto Blue Jays,,New York Yankees,,"
"2021-02-28,San Diego Padres,,Seattle Mariners,,"
"2021-02-28,Washington Nationals,,St. Louis Cardinals,,"
"2021-03-01,Baltimore Orioles,,Philadelphia Phillies,,"
"2021-03-01,Atlanta Braves,,Boston Red Sox,,"
"2021-03-01,Kansas City Royals,,Cleveland Indians,,"
"2021-03-01,Cincinnati Reds,,Oakland Athletics,,"
"2021-03-01,Detroit Tigers,,New York Yankees,,"
"2021-03-01,Colorado Rockies,,Los Angeles Dodgers,,"
"2021-03-01,New York Mets,,Miami Marlins,,"
"2021-03-01,Chicago White Sox,,Los Angeles Angels of Anaheim,,"
"2021-03-01,Milwaukee Brewers,,Arizona Diamondbacks,,"
"2021-03-01,Minnesota Twins,,Tampa Bay Rays,,"
"2021-03-01,Pittsburgh Pirates,,Toronto Blue Jays,,"
"2021-03-01,Chicago Cubs,,San Diego Padres,,"
"2021-03-01,San Francisco Giants,,Texas Rangers,,"
"2021-03-01,Houston Astros,,Washington Nationals,,"
"2021-03-02,New York Yankees,,Baltimore Orioles,,"
"2021-03-02,Tampa Bay Rays,,Boston Red Sox,,"
"2021-03-02,Minnesota Twins,,Atlanta Braves,,"
"2021-03-02,Cleveland,,IndiansSeattle Mariners,,"
"2021-03-02,Los Angeles Angels of Anaheim,,Cincinnati Reds,,"
"2021-03-02,Detroit Tigers,,Pittsburgh Pirates,,"
"2021-03-02,Los Angeles Dodgers,,San Francisco Giants,,"
"2021-03-02,Kansas City Royals,,Chicago Cubs,,"
"2021-03-02,St. Louis Cardinals,,Miami Marlins,,"
"2021-03-02,Oakland Athletics,,Milwaukee Brewers,,"
"2021-03-02,Houston Astros,,New York Mets,,"
"2021-03-02,Texas Rangers,,Chicago White Sox,,"
"2021-03-02,Philadelphia Phillies,,Toronto Blue Jays,,"
"2021-03-02,San Diego Padres,,Arizona Diamondbacks,,"
"2021-03-03,Baltimore Orioles,,Atlanta Braves,,"
"2021-03-03,Boston Red Sox,,Minnesota Twins,,"
"2021-03-03,Arizona Diamondbacks,,Cleveland Indians,,"
"2021-03-03,Cincinnati Reds,,Los Angeles Dodgers,,"
"2021-03-03,Philadelphia Phillies,,Detroit Tigers,,"
"2021-03-03,Oakland Athletics,,Colorado Rockies,,"
"2021-03-03,Chicago White Sox,,Kansas City Royals,,"
"2021-03-03,Miami Marlins,,Washington Nationals,,"
"2021-03-03,Texas Rangers,,Los Angeles Angels of Anaheim,,"
"2021-03-03,Milwaukee Brewers,,San Diego Padres,,"
"2021-03-03,New York Mets,,St. Louis Cardinals,,"
"2021-03-03,Toronto Blue Jays,,New York Yankees,,"
"2021-03-03,Pittsburgh Pirates,,Tampa Bay Rays,,"
"2021-03-03,Seattle Mariners,,Chicago Cubs,,"
"2021-03-04,Boston Red Sox,,Baltimore Orioles,,"
"2021-03-04,Atlanta Braves,,Pittsburgh Pirates,,"
"2021-03-04,Cleveland Indians,,Milwaukee Brewers,,"
"2021-03-04,Kansas City Royals,,Cincinnati Reds,,"
"2021-03-04,Toronto Blue Jays,,Detroit Tigers,,"
"2021-03-04,Colorado Rockies,,Seattle Mariners,,"
"2021-03-04,Chicago Cubs,,Los Angeles Dodgers,,"
"2021-03-04,Los Angeles Angels of Anaheim,,Arizona Diamondbacks,,"
"2021-03-04,Tampa Bay Rays,,Minnesota Twins,,"
"2021-03-04,Washington Nationals,,New York Mets,,"
"2021-03-04,New York Yankees,,Philadelphia Phillies,,"
"2021-03-04,San Diego Padres,,Texas Rangers,,"
"2021-03-04,Chicago White Sox,,San Francisco Giants,,"
"2021-03-04,St. Louis Cardinals,,Houston Astros,,"
"2021-03-05,Baltimore Orioles,,Toronto Blue Jays,,"
"2021-03-05,Tampa Bay Rays,,Boston Red Sox,,"
"2021-03-05,Minnesota Twins,,Atlanta Braves,,"
"2021-03-05,Cleveland Indians,,Chicago Cubs,,"
"2021-03-05,Arizona Diamondbacks,,Cincinnati Reds,,"
"2021-03-05,Detroit Tigers,,New York Yankees,,"
"2021-03-05,Milwaukee Brewers,,Colorado Rockies,,"
"2021-03-05,Los Angeles Dodgers,,Kansas City Royals,,"
"2021-03-05,Houston Astros,,Miami Marlins,,"
"2021-03-05,Los Angeles Angels of Anaheim,,Oakland Athletics,,"
"2021-03-05,Pittsburgh Pirates,,Philadelphia Phillies,,"
"2021-03-05,Seattle Mariners,,Chicago White Sox,,"
"2021-03-05,San Francisco Giants,,San Diego Padres,,"
"2021-03-05,St. Louis Cardinals,,Washington Nationals,,"
"2021-03-06,Detroit Tigers,,Baltimore Orioles,,"
"2021-03-06,Minnesota Twins,,Boston Red Sox,,"
"2021-03-06,Atlanta Braves,,Tampa Bay Rays,,"
"2021-03-06,Chicago White Sox,,Cleveland Indians,,"
"2021-03-06,Colorado Rockies,,Los Angeles Angels of Anaheim,,"
"2021-03-06,San Diego Padres,,Los Angeles Dodgers,,"
"2021-03-06,Kansas City Royals,,San Francisco Giants,,"
"2021-03-06,Washington Nationals,,Miami Marlins,,"
"2021-03-06,Chicago Cubs,,Milwaukee Brewers,,"
"2021-03-06,New York Mets,,Houston Astros,,"
"2021-03-06,New York Yankees,,Pittsburgh Pirates,,"
"2021-03-06,Philadelphia Phillies,,Toronto Blue Jays,,"
"2021-03-06,Oakland Athletics,,Seattle Mariners,,"
"2021-03-06,Philadelphia Phillies,,Toronto Blue Jays,,"
"2021-03-07,Baltimore Orioles,,Pittsburgh Pirates,,"
"2021-03-07,Boston Red Sox,,Atlanta Braves,,"
"2021-03-07,Cleveland Indians,,Oakland Athletics,,"
"2021-03-07,San Francisco Giants,,Cincinnati Reds,,"
"2021-03-07,Toronto Blue Jays,,Detroit Tigers,,"
"2021-03-07,Colorado Rockies,,Chicago White Sox,,"
"2021-03-07,Los Angeles Dodgers,,Texas Rangers,,"
"2021-03-07,Kansas City Royals,,San Diego Padres,,"
"2021-03-07,Miami Marlins,,New York Mets,,"
"2021-03-07,Seattle Mariners,,Los Angeles Angels of Anaheim,,"
"2021-03-07,Philadelphia Phillies,,New York Yankees,,"
"2021-03-07,Baltimore Orioles,,Pittsburgh Pirates,,"
"2021-03-07,Tampa Bay Rays,,Minnesota Twins,,"
"2021-03-07,Houston Astros,,St. Louis Cardinals,,"
"2021-03-08,Seattle Mariners,,Cleveland Indians,,"
"2021-03-08,Cincinnati Reds,,Colorado Rockies,,"
"2021-03-08,Chicago White Sox,,Los Angeles Dodgers,,"
"2021-03-08,Oakland Athletics,,Kansas City Royals,,"
"2021-03-08,Miami Marlins,,St. Louis Cardinals,,"
"2021-03-08,Los Angeles Angels of Anaheim,,Milwaukee Brewers,,"
"2021-03-08,New York Mets,,Washington Nationals,,"
"2021-03-08,Arizona Diamondbacks,,San Francisco Giants,,"
"2021-03-08,Texas Rangers,,Chicago Cubs,,"
